run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260507T201747_846405/20260507-bad20-good5-random5-paper-safe-hardness-v4-2nc,9,4,5,0.08129790919795793,1.710684065268834,1.041900727955757
20260508T103353_525013/20260508-aggressive-state-split-exact-2nc,16,4,4,0.08298716442122499,-0.06302059323295173,-0.6304486171500058
20260512T163823_268797/20260512-delayonly,17,5,11,0.08440496541695892,-0.1675072241579052,-0.5533951954963197
20260514T061719_755185/20260514-2,16,5,11,0.08498317967611256,-0.7844609733013768,-1.142594660200416
20260515T013412_801357/20260515-2,38,10,7,0.08567120703622656,0.3532544081630073,0.19070022135622322
20260508T123926_817217/20260508-aggressive-state-split-exact-2nc,30,6,7,0.085682548936332,0.2927760301192012,0.022306061445445363
20260508T200355_588891/20260508-resume18-pilot20-finalcp005-handoff-rect001-finalcp005-2nc,20,9,8,0.08581659735036894,0.15979058438802532,-0.016948103686826817
20260507T161709_868535/20260507-resume10-patched-stage20max1600-probe3-2nc,3,3,0,0.08588517233288225,0.583980749330644,0.05925068370715262
20260506T143151_970406/20260506-01,5,3,2,0.08593854348293452,1.3674979580819633,0.8470375844626536
20260508T200355_588891/20260508-resume18-pilot20-finalcp005-finalcp005-2nc,20,6,8,0.08598748658008833,0.31362215195647597,0.05534968903297354
20260508T194717_059171/20260508-resume18-pilot20-critical-handoff-rect002-finalcp005-2nc,20,7,9,0.08622162906820978,0.27106994686273983,0.05772129252104483
20260508T205938_831355/20260508-resume18-pilot20-tailjob-0005-finalcp005-2nc,20,7,8,0.08636791008467413,0.37330612966792387,0.16497282446214961
20260508T204436_998400/20260508-resume18-pilot20-finalcp005-guarded-handoff0005-finalcp005-2nc,20,6,8,0.08681106072918453,0.31362215195647597,0.08829265499682111
20260508T200355_588891/20260508-resume18-pilot20-critical-handoff-rect0005-finalcp005-2nc,20,6,8,0.08687680419184872,0.31362215195647597,0.09092239350338889
